"Marca temporal","Tenes mosquitos en tu casa?","Como te sentis cuando te pican","Algun ves tuviste dengue?","Tuviste Dengue en 2024?","Cuantos personas conoces que hayan tenido dengue en 2024?","Usas algun repelente ","Para vos 2024 fue el peor año en cuanto mosquitos?","Tomas medidas para evitar los criaderos de mosquitos?","Para vos cual fue el mes con mas mosquitos?","En que momento del dia es cuando mas te molestan?","Del 1 al 10 cuanto te molestan los mosquitos?"
"2024/04/17 3:19:10 p.m. GMT-3","No","3","Nunca","No","2","No","Si","No","Enero;Febrero","Nunca me molestan","1"
"2024/04/17 3:34:19 p.m. GMT-3","No","4","Nunca","No","3","No","Si","Lo hago cuando me acuerdo","Marzo","Nunca me molestan","2"
"2024/04/17 6:52:08 p.m. GMT-3","Sí","5","Nunca","No","1","Si","Si","No","Diciembre;Enero;Febrero;Marzo;Abril","De noche","10"
"2024/04/23 7:46:08 a.m. GMT-3","Sí","2","Nunca","No","3","No","Si","No","Enero","A la mañana","10"
"2024/04/23 7:46:57 a.m. GMT-3","Sí","3","Nunca","No","3","Si","Si","Lo hago cuando me acuerdo","Enero;Febrero","A la tarde","7"
"2024/04/23 7:52:14 a.m. GMT-3","No","3","Nunca","No","3","No","No","Siempre me aseguro de hacerlo","Enero;Febrero","A la tarde","10"
"2024/04/23 8:01:26 a.m. GMT-3","No","4","Nunca","No","4","Si","Si","No","Marzo;Abril","A la tarde","10"
"2024/04/23 9:18:14 p.m. GMT-3","Sí","3","Si","Si","Mas de 5","Si","Si","Lo hago cuando me acuerdo","Marzo","De noche","7"
"2024/04/23 9:19:06 p.m. GMT-3","No","2","Nunca","No","3","Si","Si","Lo hago cuando me acuerdo","Marzo","De noche","10"
"2024/04/23 9:19:12 p.m. GMT-3","Sí","3","Nunca","No","Mas de 5","Si","Si","Siempre me aseguro de hacerlo","Marzo","A la tarde","10"
"2024/04/23 9:21:03 p.m. GMT-3","Sí","3","Nunca","No","3","Usaría pero no consigo","Si","Siempre me aseguro de hacerlo","Marzo","De noche","10"
"2024/04/23 9:22:11 p.m. GMT-3","No","4","Nunca","No","4","Usaría pero no consigo","Si","No","Abril","Nunca me molestan","10"
"2024/04/23 9:22:26 p.m. GMT-3","Sí","4","Nunca","No","3","Si","Si","Lo hago cuando me acuerdo","Febrero","A la tarde","8"
"2024/04/23 9:24:54 p.m. GMT-3","No","4","Nunca","No","Mas de 5","Si","Si","Siempre me aseguro de hacerlo","Febrero","Todo el tiempo","10"
"2024/04/23 9:29:20 p.m. GMT-3","Sí","3","Si","Si","Mas de 5","Si","No","Lo hago cuando me acuerdo","Marzo","Todo el tiempo","10"
"2024/04/23 9:36:24 p.m. GMT-3","Sí","3","Nunca","No","Mas de 5","Si","Si","Siempre me aseguro de hacerlo","Marzo","De noche","6"
"2024/04/23 9:46:57 p.m. GMT-3","Sí","3","Nunca","No","4","Si","Si","Lo hago cuando me acuerdo","Marzo","De noche","5"
"2024/04/23 9:51:04 p.m. GMT-3","Sí","4","Nunca","No","4","Si","No","Siempre me aseguro de hacerlo","Marzo","A la tarde","10"
"2024/04/23 9:54:55 p.m. GMT-3","Sí","4","Nunca","No","Mas de 5","Si","Si","Siempre me aseguro de hacerlo","Marzo","Todo el tiempo","8"
"2024/04/23 9:55:10 p.m. GMT-3","No","2","Nunca","No","1","Si","Si","Lo hago cuando me acuerdo","Marzo","De noche","7"
"2024/04/23 10:18:07 p.m. GMT-3","Sí","1","Nunca","No","4","Si","Si","Siempre me aseguro de hacerlo","Marzo","A la tarde","3"
"2024/04/23 10:37:13 p.m. GMT-3","Sí","3","Nunca","No","2","Si","Si","Lo hago cuando me acuerdo","Marzo","A la tarde","5"
"2024/04/23 11:11:49 p.m. GMT-3","Sí","3","Nunca","No","4","Si","Si","Siempre me aseguro de hacerlo","Marzo","Todo el tiempo","8"
"2024/04/23 11:18:30 p.m. GMT-3","Sí","2","Nunca","No","2","Si","Si","Siempre me aseguro de hacerlo","Marzo","A la tarde","3"
"2024/04/24 6:24:38 a.m. GMT-3","Sí","2","Nunca","No","3","Si","No","Siempre me aseguro de hacerlo","Febrero","A la tarde","9"
"2024/04/24 7:53:30 a.m. GMT-3","Sí","3","Nunca","No","4","Si","Si","Lo hago cuando me acuerdo","Marzo","De noche","8"
"2024/04/24 9:04:32 a.m. GMT-3","Sí","3","Nunca","No","4","Si","Si","Siempre me aseguro de hacerlo","Enero;Febrero","De noche","5"
"2024/04/24 12:27:06 p.m. GMT-3","Sí","2","Nunca","No","Mas de 5","Si","Si","Siempre me aseguro de hacerlo","Febrero","Todo el tiempo","7"
"2024/04/24 1:59:35 p.m. GMT-3","No","1","Nunca","No","4","No","Si","Lo hago cuando me acuerdo","Enero;Marzo","Nunca me molestan","3"